id,fecha,tipo_elem,intensidad,ocupacion,carga,vmed,error,periodo_integracion,hora,dia,mes,atasco
4708,2021-01-01 00:00:00,URB,0.18125,0.011111111111111112,7,0.0,N,15,0,1,1,0.2891016960676087
4708,2021-01-01 00:15:00,URB,0.13541666666666666,0.022222222222222223,6,0.0,N,12,0,1,1,0.3020075013557953
4708,2021-01-01 00:30:00,URB,0.21666666666666667,0.03333333333333333,9,0.0,N,15,0,1,1,0.2995041438777497
4708,2021-01-01 00:45:00,URB,0.2583333333333333,0.022222222222222223,11,0.0,N,15,0,1,1,0.2848827040872385
4708,2021-01-01 01:00:00,URB,0.30833333333333335,0.044444444444444446,13,0.0,N,15,1,1,1,0.29001554094560245
4708,2021-01-01 01:15:00,URB,0.425,0.05555555555555556,18,0.0,N,15,1,1,1,0.2676748302011001
4708,2021-01-01 01:30:00,URB,0.4666666666666667,0.05555555555555556,19,0.0,N,15,1,1,1,0.25509964209306724
4708,2021-01-01 01:45:00,URB,0.48125,0.06666666666666667,20,0.0,N,15,1,1,1,0.25746627227744356
4708,2021-01-01 02:00:00,URB,0.4166666666666667,0.044444444444444446,17,0.0,N,15,2,1,1,0.2628780525366928
4708,2021-01-01 02:15:00,URB,0.2583333333333333,0.03333333333333333,9,0.0,N,15,2,1,1,0.2924759525091901
4708,2021-01-01 02:30:00,URB,0.2916666666666667,0.044444444444444446,12,0.0,N,15,2,1,1,0.2935455201509687
4708,2021-01-01 02:45:00,URB,0.175,0.022222222222222223,7,0.0,N,15,2,1,1,0.2976203367422825
4708,2021-01-01 03:00:00,URB,0.2,0.022222222222222223,10,0.0,N,15,3,1,1,0.29429135519109256
4708,2021-01-01 03:15:00,URB,0.11666666666666667,0.03333333333333333,6,0.0,N,15,3,1,1,0.3115032478088385
4708,2021-01-01 03:30:00,URB,0.10625,0.011111111111111112,5,0.0,N,14,3,1,1,0.2967254102884489
4708,2021-01-01 03:45:00,URB,0.11458333333333333,0.022222222222222223,5,0.0,N,12,3,1,1,0.3038754698353796
4708,2021-01-01 04:00:00,URB,0.0875,0.011111111111111112,4,0.0,N,13,4,1,1,0.29801799005676033
4708,2021-01-01 04:15:00,URB,0.08333333333333333,0.022222222222222223,4,0.0,N,15,4,1,1,0.30610021358970946
4708,2021-01-01 04:30:00,URB,0.11666666666666667,0.03333333333333333,6,0.0,N,15,4,1,1,0.3115032478088385
4708,2021-01-01 04:45:00,URB,0.075,0.011111111111111112,4,0.0,N,15,4,1,1,0.2987417613432619
4708,2021-01-01 05:00:00,URB,0.14166666666666666,0.03333333333333333,6,0.0,N,15,5,1,1,0.3091621431591604
4708,2021-01-01 05:15:00,URB,0.06666666666666667,0.011111111111111112,4,0.0,N,13,5,1,1,0.2991627581911954
4708,2021-01-01 05:30:00,URB,0.0625,0.011111111111111112,4,0.0,N,14,5,1,1,0.29935476717246506
4708,2021-01-01 05:45:00,URB,0.11875,0.022222222222222223,4,0.0,N,14,5,1,1,0.3035264020739733
4708,2021-01-01 06:00:00,URB,0.15833333333333333,0.022222222222222223,7,0.0,N,15,6,1,1,0.2996005328526821
4708,2021-01-01 06:15:00,URB,0.1,0.011111111111111112,5,0.0,N,15,6,1,1,0.29718379551695695
4708,2021-01-01 06:30:00,URB,0.0625,0.011111111111111112,3,0.0,N,14,6,1,1,0.29935476717246506
4708,2021-01-01 06:45:00,URB,0.08333333333333333,0.022222222222222223,5,0.0,N,15,6,1,1,0.30610021358970946
4708,2021-01-01 07:00:00,URB,0.10208333333333333,0.022222222222222223,6,0.0,N,15,7,1,1,0.3048487971453643
4708,2021-01-01 07:15:00,URB,0.11875,0.011111111111111112,6,0.0,N,15,7,1,1,0.2957263326419547
4708,2021-01-01 07:30:00,URB,0.14166666666666666,0.011111111111111112,6,0.0,N,15,7,1,1,0.29361105649495556
4708,2021-01-01 07:45:00,URB,0.16041666666666665,0.022222222222222223,7,0.0,N,15,7,1,1,0.2993635430337308
4708,2021-01-01 08:00:00,URB,0.10625,0.011111111111111112,6,0.0,N,15,8,1,1,0.2967254102884489
4708,2021-01-01 08:15:00,URB,0.14166666666666666,0.022222222222222223,7,0.0,N,15,8,1,1,0.3013875082849958
4708,2021-01-01 08:30:00,URB,0.11666666666666667,0.022222222222222223,6,0.0,N,15,8,1,1,0.30370247242031645
4708,2021-01-01 08:45:00,URB,0.2,0.03333333333333333,9,0.0,N,15,8,1,1,0.30198694695426925
4708,2021-01-01 09:00:00,URB,0.11666666666666667,0.011111111111111112,6,0.0,N,15,9,1,1,0.2959004524646347
4708,2021-01-01 09:15:00,URB,0.14375,0.03333333333333333,6,0.0,N,15,9,1,1,0.30894699662600256
4708,2021-01-01 09:30:00,URB,0.13333333333333333,0.022222222222222223,6,0.0,N,15,9,1,1,0.30220806808410755
4708,2021-01-01 09:45:00,URB,0.18333333333333332,0.03333333333333333,7,0.0,N,15,9,1,1,0.3042789511752733
4708,2021-01-01 10:00:00,URB,0.11041666666666666,0.022222222222222223,6,0.0,N,15,10,1,1,0.30421223674390946
4708,2021-01-01 10:15:00,URB,0.13958333333333334,0.022222222222222223,7,0.0,N,15,10,1,1,0.30159721876967954
4708,2021-01-01 10:30:00,URB,0.2,0.022222222222222223,8,0.0,N,15,10,1,1,0.29429135519109256
4708,2021-01-01 10:45:00,URB,0.13333333333333333,0.011111111111111112,5,0.0,N,15,10,1,1,0.294422572517488
4708,2021-01-01 11:00:00,URB,0.18333333333333332,0.03333333333333333,7,0.0,N,15,11,1,1,0.3042789511752733
